納品データ,member_ id,種別,ニックネーム,スレッドURL,スレッドタイトル,スレッド本文,ルーム,テンション,タグ1,タグ2,タグ3,タグ4,タグ5,投稿日時
0320-0326,,,レオレオ,,2 Chainzの好きな曲はなんですか？,2 Chainzの好きな曲はなんですかー？心に残った歌詞とかあればどうぞ！,2 Chainz,みんなでわいわい,歌手,,,,,2014/4/28 9:46
0320-0326,,,レオレオ,,4heroの好きなところはなんですか！？,4heroの好きなところはなんですか！？曲のベースが良いという点が私は好きです！,4hero,みんなでわいわい,歌手,,,,,2014/4/28 17:21
0320-0326,,,レオレオ,,50 Centの曲で好きな曲はなんですか？,50 Centの曲で好きな曲はなんですか？心に残った曲をぜひ教えてー！,50 Cent,みんなでわいわい,ヒップホップ,,,,,2014/4/30 3:07
0320-0326,,,レオレオ,,AIの髪型で一番ないわと思ったのは？,"坊主にしたりいろいろ髪型変えてますけど、中でも一番えーって思った髪型は
何でしたか？逆に似合ってた髪型も見てみたいですね。",AI,みんなでわいわい,J-POP,ソウル,,,,2014/4/29 2:57
0320-0326,,,レオレオ,,AIのR&B色が強い曲は？,"R&B歌手だったように記憶しているんですが、一番R&B色の強い曲を
教えてください！",AI,今すぐ教えて！,J-POP,ソウル,,,,2014/4/28 16:26
0320-0326,,,レオレオ,,AIって実際どうなの？,"邦楽R&Bのディーヴァって聞いたんですが実際どうなんでしょうか。
みなさんの意見ください。",AI,ご意見求む,J-POP,ソウル,,,,2014/4/29 10:17
0320-0326,,,アレグロ♪,,ゴスペル・グループ　Al Green,"「レッツ・ステイ・トゥゲザー」って、Al Greenの曲だったんだなあ。
カッコいい曲ですよね！もっとオススメの曲ってありますか？",Al Green,今すぐ教えて！,歌手,,,,,2014/4/30 1:36
0320-0326,,,レオレオ,,Alexandra Burkeってなんの優勝したの？,Alexandra Burkeってなんの優勝したのでしょうか？そんな話を聞いたのですが...,Alexandra Burke,今すぐ教えて！,歌手,,,,,2014/4/28 11:14
0320-0326,,,アレグロ♪,,ANITA BAKER好きな方,"ANITA BAKER　カッコいいですよね～。
どの曲がお気に入りですか？",ANITA BAKER,今すぐ教えて！,歌手,,,,,2014/4/28 12:46
0320-0326,,,レオレオ,,Arctic Monkeysの好きなライブはどれ？,"ライブで一番思い出に残ってるのはどのライブですか？
今年のサマソニはヘッドで来そうですね！",Arctic Monkeys,みんなでわいわい,ロック,,,,,2014/4/28 18:02
0320-0326,,,レオレオ,,Arctic Monkeysのお勧めのライブ盤は？,"盛り上がったいい内容のライブ盤を教えてください！
来日公演じゃなくてもいいです！",Arctic Monkeys,今すぐ教えて！,ロック,,,,,2014/4/29 10:21
0320-0326,,,レオレオ,,Arctic Monkeysを何で知った？,"あまり日本で宣伝していないように感じるのですが、みなさんはどこで知りましたか？
どうやったらもっと知名度上がるんでしょうね？意見ください！",Arctic Monkeys,ご意見求む,ロック,,,,,2014/4/27 20:13
0320-0326,,,レオレオ,,Arctic Monkeysで一番好きな曲はなに？,"アクモンで一番好きな曲はみなさんなんですか？
緩急や抜けない感じがたまらないバンドの好きな曲で好みわかりそうですよね。",Arctic Monkeys ,みんなでわいわい,ロック,,,,,2014/4/28 16:47
0320-0326,,,レオレオ,,Arctic Monkeysの新アルバムはどんな感じ？,"AMが発売されてから結構経つのですが、完全に乗り遅れてまだ買ってません。
どんな感じのアルバムなのでしょうか？アルバムごとに感じが違うんで場合によっては
見送りたいので教えてください！",Arctic Monkeys ,今すぐ教えて！,ロック,,,,,2014/4/28 15:37
0320-0326,,,レオレオ,,Arctic Monkeysは来日したらどこでライブする,"どの程度の人数が集まるんでしょうか？日本での人気ってどの程度なんでしょうか？
皆さんはどう思いますか？",Arctic Monkeys ,ご意見求む,ロック,,,,,2014/4/27 19:55
0320-0326,,,アレグロ♪,,Atlantic Starrのオススメの曲,"Atlantic Starr　R＆Ｂのグループです。いいですよね！
もっと知りたいです。オススメの曲、教えてください！",Atlantic Starr,今すぐ教えて！,歌手,,,,,2014/4/30 5:32
0320-0326,,,レオレオ,,Avril Lavigneさんイメージの・・・,Avril Lavigneさんって金髪のイメージがあるのですが、いつからなのでしょうか？それとも元から金髪なのでしょうか？,Avril Lavigne,今すぐ教えて！,洋楽POPS,,,,,2014/4/28 20:11
0320-0326,,,レオレオ,,Avril Lavigneさんの最新リリースって？,Avril Lavigneさんって最近見ないような気がするのですが、最新リリースを教えてください！,Avril Lavigne,今すぐ教えて！,洋楽POPS,,,,,2014/4/30 2:57
0320-0326,,,レオレオ,,Avril Lavigneさんの曲でダンスなら？,Avril Lavigneさんの曲でダンスしようと思うのですが、どの曲がいいと思いますか？ノリやすいのがいいのですが…。,Avril Lavigne,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 19:25
0320-0326,,,レオレオ,,Avril Lavigneさんの本当のところは？,Avril Lavigneさんってチャラいイメージがあるのですが、本当のところはどうなんでしょうか？曲の歌詞などもそういうことが多い気がして…,Avril Lavigne,今すぐ教えて！,洋楽POPS,,,,,2014/4/28 15:14
0320-0326,,,レオレオ,,Avril Lavigneさんの化粧？,Avril Lavigneさんの化粧で目の周りが真っ黒な化粧をしているところを見たことがある気がするのですが、気のせいでしょうか？,Avril Lavigne,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 2:54
0320-0326,,,レオレオ,,Britney Spearsさんって何歳に？,Britney Spearsさんって年齢の割にかわいく見えますよね⁉︎実際今年で何歳になるのでしょうか？,Britney Spears,今すぐ教えて！,洋楽POPS,,,,,2014/4/27 21:14
0320-0326,,,レオレオ,,Britney Spearsさんの最新のCDのリリースは？,Britney Spearsさんの最新のCDのリリースをぜひ教えていただけないでしょうか？,Britney Spears,今すぐ教えて！,洋楽POPS,,,,,2014/4/28 19:40
0320-0326,,,レオレオ,,Britney Spearsさんはお子さんがいる？,Britney Spearsさんは確かお子さんがいたような気がするのですが、本当でしょうか？,Britney Spears,今すぐ教えて！,洋楽POPS,,,,,2014/4/28 10:38
0320-0326,,,レオレオ,,Britney Spearsさんの妹の名前は？,Britney Spearsさんって確か妹さんが女優をしていたと思うのですが、なんという名前でしょうか？,Britney Spears,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 4:20
0320-0326,,,レオレオ,,Britney Spearsさんの生い立ちは？,Britney Spearsさんの生い立ちを少しでもいいので教えていただけないでしょうか？,Britney Spears,今すぐ教えて！,洋楽POPS,,,,,2014/4/28 4:53
0320-0326,,,アレグロ♪,,EXILEのATSUSHI,"ソロアルバムが出ましたけど、歌うまいですね～。
やっと清木場俊介とのコラボが実現してます。嬉しいなあ～",EXILE,みんなでわいわい,J-POP,,,,,2014/4/28 22:47
0320-0326,,,19みつき28,,Fall Out BoyのThnks fr th Mmrsの歌詞,"Fall Out BoyのThnks fr th MmrsのPV観て、おさるがちょいちょい面白くて(笑)
歌詞が気になるんですけど、どんな内容なんでしょう？",Fall Out Boy,みんなでわいわい,歌手,,,,,2014/4/28 1:55
0320-0326,,,レオレオ,,Fall Out Boyの感動した曲を教えて！,Fall Out Boyの感動した曲を教えてくださいー！この曲！っていう一押しを語り合いましょう！,Fall Out Boy,みんなでわいわい,オルタナ,,,,,2014/4/30 6:59
0320-0326,,,レオレオ,,Fall Out Boyのおすすめアルバムはなんですか？,Fall Out Boyのおすすめアルバムはなんですか？あなたが思うオススメアルバムを教えてください。,Fall Out Boy,ご意見求む,オルタナ,,,,,2014/4/28 18:55
0320-0326,,,きみどりみどろ,,最近気になる福岡ローカルGLITTER☆！,福岡のローカルアイドル、GLITTER☆が気になります。ブサイク売りって、、、まあ、面白いですけどね。気になっているかた、いろいろ語りましょう！,GLITTER,みんなでわいわい,アイドル,,,,,2014/4/29 1:00
0320-0326,,,レオレオ,,Green Dayってどういう意味なのですか？,Green Dayってどういう意味なのですか？由来とかあるのでしょうか？教えてください。,Green Day,ご意見求む,オルタナ,,,,,2014/4/30 1:25
0320-0326,,,じゅえる,,ママになったGwenの魅力を語ろう！,"ママになっても美しく逞しく才能豊かな彼女の魅力をみなさんで語りましょう！
特に、育児をしながらアーティストで居続ける彼女の最大の魅力ってなんでしょう？",Gwen Stefani,みんなでわいわい,歌手,,,,,2014/4/28 18:32
0320-0326,,,レオレオ,,あなたにとってのHelloweenの名曲とは！？,あなたにとってのHelloweenの名曲とはなんですか？昔のものから今のものまで語り合いましょう！,Helloween,みんなでわいわい,歌手,,,,,2014/4/28 20:18
0320-0326,,,つくねぎま,,心に響く☆HIBIKILLA,日本のレゲエミュージシャン、HIBIKILLA（ヒビキラー）さんについて語りましょう！,HIBIKILLA,みんなでわいわい,レゲエ,,,,,2014/4/29 3:06
0320-0326,,,NYAH☆,,Hot Chocolateとの出会いの曲は？,Hot Chocolateに思い入れがある方！Hot Chocolateを知ったきっかけになった曲や、好きな曲について話しませんか？,Hot Chocolate,みんなでわいわい,ソウル,,,,,2014/4/30 4:46
0320-0326,,,アレグロ♪,,HYのサウンド、気持ちいいなあ～,"沖縄出身のバンドですけど、聴きやすくていいですね～。
最近では、ドリカムの歌も歌ってますね。",HY,みんなでわいわい,J-POP,,,,,2014/4/29 21:27
0320-0326,,,NYAH☆,,I ROYの好きなアルバムは何ですか,数あるアルバムの中で、お気に入りのアルバムや一押しの名盤など語り合いませんか？,I ROY,みんなでわいわい,レゲエ,,,,,2014/4/29 12:26
0320-0326,,,19みつき28,,"J. Coleのアルバム""BORN SINNER""でどの曲が好き？","J. COLEのアルバム""BORN SINNER""の曲で、どれが一番好きですか？？
ちなみに私は、Amber CoffmanがヒューチャリングしてるShe knowsが好きです。
PVもかなり見入っていまいます。",J. COLE,みんなでわいわい,歌手,,,,,2014/4/28 17:35
0320-0326,,,ninomy617,,Jacson Sistersの中で日本人になじみのある曲は？,歌はいいのに、アルバム一枚しか出していないJacson Sisters。どの曲が一番日本人になじみがあると思いますか？,Jackson Sisters,みんなでわいわい,歌手,,,,,2014/4/30 5:06
0320-0326,,,レオレオ,,Jadakissが似合う帽子はどれですか？,Jadakissが似合う帽子はどれだと思いますかー？色とか形とか語り合いましょうー！,Jadakiss,みんなでわいわい,ファッション,,,,,2014/4/29 15:25
0320-0326,,,19みつき28,,JAGWAR MAってどんな曲歌ってるの？,"BBC Radio 6 Music Festivalについての記事を読んでいたらJAGWAR MAって人について書かれていたんですけど、どんな曲を作ってる人なんですか？
ご存知の方、教えて下さい~☆",JAGWAR MA,みんなでわいわい,歌手,,,,,2014/4/29 19:17
0320-0326,,,ninomy617,,Jimmy Eat Worldの曲で好きなものは？,Jimmy Eat Worldの「Sweetness」がなつかしい感じがして好きです。みなさんのJimmy Eat Worldの好きな曲を教えてください。,Jimmy Eat World,みんなでわいわい,歌手,,,,,2014/4/28 19:14
0320-0326,,,レオレオ,,JING TENGのこれからの活動について,JING TENGのこれからの活動について語り合いましょうー！脱退したという話もあったけれど。,JING TENG,みんなでわいわい,歌手,,,,,2014/4/30 2:42
0320-0326,,,NYAH☆,,Joss Stoneの魅力について,Joss Stoneの好きな所、どんな所に魅力を感じますか？楽しく語り合いましょう♪,Joss Stone,みんなでわいわい,R&B,,,,,2014/4/28 20:34
0320-0326,,,ヤマトタケルXYZ,,JOYSTICKKのヒット曲を教えてください。,"JOYSTICKKでヒットした曲はどんな曲がありますか？
最近気になるアーティストです。みなさんはどう思いますか？",JOYSTICKK,みんなでわいわい,歌手,,,,,2014/4/30 1:37
0320-0326,,,レオレオ,,JUDY AND MARYの曲で好きな曲を！,JUDY AND MARYの曲で好きな曲をみんなで語り合いましょう！どんな曲がお好きですか？,JUDY AND MARY,ゆるーくおしゃべり,J-POP,,,,,2014/4/29 5:28
0320-0326,,,レオレオ,,JUDY AND MARYってどういう意味なのですか？,JUDY AND MARYってどういう意味なのですか？深い意味とかがあるのですか？,JUDY AND MARY,今すぐ教えて！,J-POP,,,,,2014/4/30 9:18
0320-0326,,,レオレオ,,JUDY AND MARYが解散した理由って？,JUDY AND MARYが解散した理由ってなんでしょうか？ご存知の方は教えてください。,JUDY AND MARY,ご意見求む,J-POP,,,,,2014/4/27 17:55
0320-0326,,,ninomy617,,JULIO BASHMOREの魅力は？,フジロックでも、その実力を見せつけたJULIO　BASHMOREですが、その魅力を語りましょう！,JULIO BASHMORE,みんなでわいわい,歌手,,,,,2014/4/28 6:58
0320-0326,,,レオレオ,,Justin Mooreが一番似合うハットの色は！？,Justin Mooreが一番似合うハットの色はなんですか！？ハットすごく似合っていますよね！,Justin Moore,みんなでわいわい,ファッション,,,,,2014/4/28 21:20
0320-0326,,,NYAH☆,,Kaskadeのイチオシ曲で盛り上がろう！,Kaskadeの曲はメロディアスで聴いてて気持ちがいいですよね♪好きな曲とかいろいろ話しましょう。,Kaskade,みんなでわいわい,テクノ,,,,,2014/4/28 8:50
0320-0326,,,ヤマトタケルXYZ,,Kat Delunaでドライブで聴きたい曲は何ですか？,みなさんがドライブでKat Delunaを聴くならかけたい曲はなんですか？,Kat Deluna,みんなでわいわい,歌手,,,,,2014/4/29 23:26
0320-0326,,,レオレオ,,Katy Perryってなにで有名になったの？,Katy Perryってなにで有名になったのでしょうか？曲とかあれば教えてください。,Katy Perry,今すぐ教えて！,洋楽POPS,,,,,2014/4/28 15:14
0320-0326,,,レオレオ,,Katy Perryの今後の恋愛について,Katy Perryの今後の恋愛についてどう思いますか？離婚もされましたもんね。,Katy Perry,ご意見求む,洋楽POPS,,,,,2014/4/29 21:36
0320-0326,,,レオレオ,,Kid Rockのyoutube見たことがある方ー！,Kid Rockのyoutube見たことがある方ー！一番どの映像が感動しましたかー！？,Kid Rock,みんなでわいわい,歌手,,,,,2014/4/28 3:16
0320-0326,,,じゅえる,,Kings of Leonのニューアルバムを語ろう！,一番最近にリリースしたニューアルバムの中で、みなさんのお気に入りの曲って何でしたか？,Kings Of Leon,みんなでわいわい,歌手,,,,,2014/4/29 9:05
0320-0326,,,NYAH☆,,コブラ&ザ・ロータス かっこいいですね,コブラ&ザ・ロータス、今年は新曲も出るか楽しみですね。好きなポイント自由に話しませんか？,Kobra And The Lotus,みんなでわいわい,ロック,,,,,2014/4/28 22:27
0320-0326,,,NYAH☆,,KYTEの美しい旋律について,透き通るような旋律に癒されている人、たくさんいますよね♪お気に入りの曲など話しませんか？,KYTE,みんなでわいわい,ロック,,,,,2014/4/27 17:39
0320-0326,,,NYAH☆,,LADIES CODEの好きなメンバー,最近LADIES CODEに注目してます。好きなメンバーについて気軽に話しませんか？,LADIES CODE,みんなでわいわい,K-POP,,,,,2014/4/28 19:01
0320-0326,,,レオレオ,,LADY GAGAの曲で元気でた曲は！？,LADY GAGAの曲で元気でた曲をみんなで語り合いましょうーー！おすすめ曲でもＯＫ！,LADY GAGA,みんなでわいわい,洋楽POPS,,,,,2014/4/27 18:12
0320-0326,,,レオレオ,,LADY GAGAの身長ってどれくらい？,LADY GAGAの身長ってどれくらいなのでしょうか？高いイメージがありますが。,LADY GAGA,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 12:08
0320-0326,,,レオレオ,,LADY GAGAの過去を知っている人,LADY GAGAの過去を知っている人へ！彼女の人生を教えてください！,LADY GAGA,ご意見求む,洋楽POPS,,,,,2014/4/28 15:12
0320-0326,,,じゅえる,,ラナデルレイの彼氏って？,ラナデルレイの彼氏って、過去にマリリンマンソンって報道があったと思いますがこの二人の、イメージってどう思いますか？,Lana Del Rey,みんなでわいわい,歌手,,,,,2014/4/29 22:17
0320-0326,,,レオレオ,,Laura Iziborの好きな曲はなんですか？,Laura Iziborの好きな曲はなんですか？一番好きな曲とかをぜひ教えてくださいー！,Laura Izibor,みんなでわいわい,歌手,,,,,2014/4/29 2:06
0320-0326,,,NYAH☆,,リオン・ウェアのプロデュース曲,マーヴィン・ゲイの「I Want You」でリオン・ウェアを知りました。他にもどんな楽曲を手掛けているのか気になります。情報交換し合いましょう。,Leon Ware,みんなでわいわい,R&B,,,,,2014/4/29 19:57
0320-0326,,,ヤマトタケルXYZ,,Lil Boosieのオススメの曲を教えてください。,"最近ヒップホップに興味を持ち始めて、Lil Boosieが好きになりました。
オススメの曲を教えてください。",Lil Boosie,みんなでわいわい,歌手,,,,,2014/4/29 4:54
0320-0326,,,アレグロ♪,,Linkin Parkの来日はないのかな？,"Linkin Park、生で聴いてみたいです。
来日とか、ライブってないのかなあ？　会ってみたい。",Linkin Park,ゆるーくおしゃべり,ロック,,,,,2014/4/29 14:42
0320-0326,,,レオレオ,,Linkin Parkの大好きな曲を教えてー！,Linkin Parkの大好きな曲を教えてくださいー！その曲をぜひ私も聴いてみたい！,Linkin Park,みんなでわいわい,ロック,,,,,2014/4/30 1:15
0320-0326,,,レオレオ,,Linkin Parkの新要素について,Linkin Parkのミュージックセンスについて、あなたはどのように感じておりますか？,Linkin Park,ご意見求む,ロック,,,,,2014/4/29 14:05
0320-0326,,,レオレオ,,Lloyd Banksのヒップホップの実力について,Lloyd Banksのヒップホップの実力について皆さんはどう思いますか？,Lloyd Banks,みんなでわいわい,歌手,,,,,2014/4/30 0:10
0320-0326,,,レオレオ,,LOCAL NATIVESを知ったきっかけって？,LOCAL NATIVESを知ったきっかけってなんですか？この曲を聴いたから！とか。,LOCAL NATIVES,みんなでわいわい,歌手,,,,,2014/4/29 2:59
0320-0326,,,19みつき28,,Luke Bryanのオススメ曲ありますか～？？,"私はカントリーってあんまり聞かないんですけど、Luke Bryanってアーティスト気になってます♪
カントリー初心者でも聴きやすいLuke Bryanのオススメあったら教えて下さい☆",Luke Bryan,みんなでわいわい,歌手,,,,,2014/4/28 7:16
0320-0326,,,19みつき28,,MARIOと言えばLet Me Love Youですよね？？,"MARIOと言えばLet Me Love youだと思うんですけど、みなさんのお気に入りってありますか～？
Ne-yoのイメージが強くて最近の曲とか知らないなぁ～。",MARIO,みんなでわいわい,歌手,,,,,2014/4/30 4:05
0320-0326,,,アレグロ♪,,Mallon5 カッコいいです！,"グラミー賞を獲得してるアーティストです。
でもあまり詳しく知らない。知ってること、教えてほしいです！",Maroon 5,みんなでわいわい,歌手,,,,,2014/4/28 19:05
0320-0326,,,レオレオ,,Maroon 5のアダムさんの彼女について,Maroon 5のアダムさんの彼女について。今後の恋愛とかどうなると思いますか？,Maroon 5,ご意見求む,オルタナ,,,,,2014/4/30 1:07
0320-0326,,,レオレオ,,Marvin Gayeのソロシンガーとしての実力,Marvin Gayeのソロシンガーとしての実力はどんなものだと思いますか？,Marvin Gaye,みんなでわいわい,歌手,,,,,2014/4/28 4:12
0320-0326,,,きみどりみどろ,,MATZKAの不思議な日本語が入っている歌詞,MATZKAのレゲエ（？）音楽は、台湾原住民音楽という事で日本語が使われてますね。面白い歌詞を検証しましょう！,MATZKA,みんなでわいわい,レゲエ,,,,,2014/4/30 4:31
0320-0326,,,19みつき28,,MAVADOの好きな曲教えて～♪♪,"私はNicki MinajがヒューチャリングしているGive It All To Meが好きです♪
みなさんのオススメとか好きな曲はどれですかー？？",MAVADO,みんなでわいわい,歌手,,,,,2014/4/28 1:43
0320-0326,,,19みつき28,,Metisって鈴木明子選手と交流があるの？？,"フィギュアスケートの鈴木明子選手とMetisと交流があるって本当ですか？
Mwtisと言えば母賛歌ですけど、鈴木選手もたくさん聴いていたんでしょうか(*^^*)",Metis,みんなでわいわい,歌手,,,,,2014/4/29 21:59
0320-0326,,,レオレオ,,Michael Jacksonのコピーってどれくらいいる？,Michael Jacksonのコピーってどれくらいいるのでしょうか？マネしている人とか,Michael Jackson,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 9:46
0320-0326,,,レオレオ,,Michael Jacksonのマイナーな曲ってなんですか？,Michael Jacksonのマイナーな曲ってなんですか？有名なとｌころは知っているのですが,Michael Jackson,今すぐ教えて！,洋楽POPS,,,,,2014/4/30 5:41
0320-0326,,,レオレオ,,Michael Jacksonの有名なダンスってどれですか？,Michael Jacksonの有名なダンスってどれですか？一番有名なものを教えて！,Michael Jackson,今すぐ教えて！,洋楽POPS,,,,,2014/4/27 22:06
0320-0326,,,レオレオ,,Michael Jacksonのあの細さを維持する方法とは？,Michael Jacksonのあの細さを維持する方法とはなんですか？すごい細いですよね！,Michael Jackson,今すぐ教えて！,洋楽POPS,,,,,2014/4/27 20:57
0320-0326,,,レオレオ,,Michelle Williamsの髪型はどれが良いですか？,Michelle Williamsの髪型はどれが良いですか？ロングですか？ショートですか？,Michelle Williams,みんなでわいわい,ファッション,,,,,2014/4/28 16:02
0320-0326,,,レオレオ,,miwaとコラボしたら面白そうなアーティストは,"もしコラボするならだれとしてほしいですか？想像ですけど、してほしい
アーティスト挙げていきましょう！",miwa,みんなでわいわい,J-POP,,,,,2014/4/29 13:36
0320-0326,,,レオレオ,,miwaの新曲いつ発売？,"新曲はいつ発売するのでしょうか？そろそろ出そうですよね。
教えてください！",miwa,今すぐ教えて！,J-POP,,,,,2014/4/28 2:36
0320-0326,,,レオレオ,,miwaはアイドルじゃないですよね,"アイドルっぽいPOP見かけるんですが、アイドルではないですよね？
みなさんはどんな認識ですか？",miwa,ご意見求む,J-POP,,,,,2014/4/28 14:30
0320-0326,,,アレグロ♪,,miwa 主演女優になるらしい。,"早速、女優デビューなのかあ。
ファンの皆さんは、この話題、嬉しいですか？
ちょっと早い気もしないでもないけど・・・",miwa,みんなでわいわい,J-POP,,,,,2014/4/29 12:17
0320-0326,,,レオレオ,,miwaさんの曲はどんなときに聴く？,miwaさんの曲はどんなときに聴きますか？つらいときとかですか？,miwa,ご意見求む,J-POP,,,,,2014/4/28 23:26
0320-0326,,,レオレオ,,MODESELEKTORのジャンルを定義しよう！,MODESELEKTORのジャンルって難しいですよね？彼らの定義してみましょう！,MODESELEKTOR,みんなでわいわい,歌手,,,,,2014/4/29 11:36
0320-0326,,,アレグロ♪,,沖縄出身の３人組　MONGOL800,"MONGOL800　明るくてカッコいい音が好きです。
皆さんイチオシンの曲はどれですか？",MONGOL800 ,みんなでわいわい,J-POP,,,,,2014/4/28 8:49
0320-0326,,,レオレオ,,Mos Defが似合うメガネってどれだと思いますか？,Mos Defが似合うメガネってどれだと思いますか？細い系とか大きめとか！,Mos Def,みんなでわいわい,歌手,,,,,2014/4/29 14:17
0320-0326,,,NYAH☆,,これこそ破天荒、モトリー・クルー,ゴシップネタ満載のモトリー・クルーについて、いろんなエピソードを話しませんか？,Motley Crue,みんなでわいわい,メタル,,,,,2014/4/27 19:32
0320-0326,,,アレグロ♪,,ミスチルの魅力を語ってください！,"ミスチルの魅力は何ですか？
歌詞？メンバー？曲？　ずっと語り継がれる秘密が知りたいです。",Mr. Children,ゆるーくおしゃべり,J-POP,,,,,2014/4/30 7:56
